x y a
-0.020394 0.072208 3
0.836860 0.368655 69
0.398037 0.983817 56
-0.765275 -0.189697 251
-0.153396 -0.890511 120
0.471436 0.582604 201
0.112797 -0.200432 76
-0.376673 1.816513 207
0.507070 0.136507 57
1.286962 -0.009086 184
3.069714 -0.653785 37
-0.821168 1.306323 173
-2.116225 0.145546 45
1.131862 0.533053 97
-2.474427 -0.246655 85
0.099991 -0.070084 191
0.942908 0.271883 53
1.623819 -0.190919 179
0.160292 1.537667 137
1.287624 -1.203461 98
0.677795 0.617987 56
-0.383474 1.164186 230
0.899537 -0.703451 105
-0.790194 0.363889 12
-0.247260 0.281386 8
-0.726317 -0.772210 194
-0.411236 -1.285040 46
0.867381 -0.359615 182
-0.819947 -0.188936 172
-0.214998 0.326360 190
0.829286 0.337270 89
0.008093 0.193048 255
0.521951 0.884980 104
-0.682086 2.642343 44
0.435306 0.958944 220
-0.037566 -1.594582 122
-0.723640 0.612069 64
1.894447 0.312963 127
-0.701368 0.587670 82
-0.164632 -0.826031 201
-0.130576 -0.470997 255
0.150901 1.887356 128
-0.098915 -1.270839 180
-0.718792 -1.582187 17
0.367265 -1.063771 31
1.157612 0.234850 67
-0.209387 -1.513703 49
-1.601706 0.896182 173
0.387712 -0.319179 146
-0.535378 0.764314 160
-0.749655 0.864327 41
-0.139496 0.241703 176
-0.143414 1.331569 210
-0.192111 -1.168447 39
-0.583883 -0.265026 8
0.415358 -0.136286 100
-0.435337 -0.468914 121
1.458409 -1.114138 249
1.714625 -1.410841 22
0.863247 1.564437 65
-0.243381 0.483474 15
-0.521142 0.085128 13
-0.021312 0.715576 52
0.172822 1.674754 100
0.158293 -1.718278 75
0.051567 -0.142871 26
-1.208034 -0.119843 3
1.277829 -0.152987 36
-0.751765 1.731966 54
1.207081 0.542149 160
-0.074121 -0.218345 76
-0.566922 -1.218786 34
0.835970 0.269737 181
-1.615126 0.508709 234
0.367664 1.607285 108
0.569286 0.221397 40
0.199567 1.462108 145
-1.411731 0.828910 124
-1.047331 0.149401 35
-0.234870 -0.676296 187
-0.709925 0.970010 165
-0.014102 -0.999097 215
1.262312 1.417303 11
0.941082 0.366316 79
-0.787342 -0.165731 94
0.371476 -0.553239 170
0.223272 0.919722 219
0.910668 1.606109 214
1.603005 0.574155 119
0.209414 -1.102451 225
-0.781401 1.015915 180
-0.383927 1.437280 17
-0.414804 -0.337460 50
-0.178900 -0.822189 173
-0.434283 0.205946 221
1.034032 -1.403005 195
1.173985 0.227387 151
-1.291053 2.097358 2
-0.518002 -0.677046 226
-0.019944 -0.665086 40
1.097495 0.770108 212
1.270346 0.666346 69
-0.032332 -0.124175 82
-0.856413 0.662279 203
0.066540 -0.214210 154
0.176379 1.612213 166
-0.305405 0.886270 62
1.272919 -0.965498 22
-0.014400 -0.533026 51
0.539393 1.141680 15
-0.169820 0.906528 48
0.141981 -0.054784 214
-0.952392 -1.280102 12
-1.163762 0.156636 103
-0.092925 1.302235 160
-0.837375 0.441232 208
-1.902045 -1.078868 210
-0.537519 0.214343 213
2.220285 0.870937 10
-0.507142 -0.930949 121
-1.099354 -0.464259 77
-0.065060 0.663782 77
-1.520051 1.802610 6
1.232507 0.049295 113
1.026440 -0.304603 54
-1.359767 1.707809 201
-0.811476 0.055929 140
1.278084 -0.548587 83
-0.138415 0.513234 13
0.764484 -1.001228 223
-0.622409 -0.198776 184
-0.062693 0.085897 252
-1.078351 -0.056618 169
-1.522148 -0.742497 227
-1.249373 1.146157 137
0.643368 0.276976 172
0.554044 1.161851 0
-0.939305 -0.751598 50
-1.862017 1.104693 45
1.445116 0.447806 44
1.116306 -0.439080 87
-1.098388 0.012017 157
